% X-coord, Y-coord, Polarization, wavelength, type, deviceID, params 
8124, 1874, TM, 1310, PCM, PCM_SpiralWG10338TM
7900, 2179, TM, 1310, PCM, PCM_SpiralWG0TM_1
7974, 2179, TM, 1310, PCM, PCM_SpiralWG20051TM
8339, 2080, TM, 1310, PCM, PCM_SpiralWG40304TM
8280, 8638, TE, 1550, PCM, ringloss4pt&r10&g400&WG500
7679, 8638, TE, 1550, PCM, ringloss4pt&r10&g250&WG500
7593, 8638, TE, 1550, PCM, ringloss4pt&r10&g229&WG500
7937, 8638, TE, 1550, PCM, ringloss4pt&r10&g314&WG500
7164, 8638, TE, 1550, PCM, ringloss4pt&r10&g121&WG500
7079, 8638, TE, 1550, PCM, ringloss4pt&r10&g100&WG500
7250, 8638, TE, 1550, PCM, ringloss4pt&r10&g143&WG500
8022, 8638, TE, 1550, PCM, ringloss4pt&r10&g336&WG500
8108, 8638, TE, 1550, PCM, ringloss4pt&r10&g357&WG500
7851, 8638, TE, 1550, PCM, ringloss4pt&r10&g293&WG500
7336, 8638, TE, 1550, PCM, ringloss4pt&r10&g164&WG500
7765, 8638, TE, 1550, PCM, ringloss4pt&r10&g271&WG500
8194, 8638, TE, 1550, PCM, ringloss4pt&r10&g379&WG500
7422, 8638, TE, 1550, PCM, ringloss4pt&r10&g186&WG500
7507, 8638, TE, 1550, PCM, ringloss4pt&r10&g207&WG500
8712, 296, TE, 1310, TEAlign, Farm
8763, 296, TE, 1310, TEAlign, Farm_1
8712, 8357, TE, 1310, TEAlign, Farm_2
8763, 8357, TE, 1310, TEAlign, Farm_3
502, 8637, TE, 1310, TEAlign, Farm_4
554, 8637, TE, 1310, TEAlign, Farm_5
49, 143, TE, 1550, TEAlign, FarmLeft_4
129, 143, TE, 1550, TEAlign, FarmMiddle_4
209, 270, TE, 1550, TEAlign, FarmRight_4
8369, 143, TE, 1550, TEAlign, FarmLeft_5
8449, 143, TE, 1550, TEAlign, FarmMiddle_5
8529, 270, TE, 1550, TEAlign, FarmRight_5
49, 8639, TE, 1550, TEAlign, FarmLeft_6
129, 8639, TE, 1550, TEAlign, FarmMiddle_6
209, 8766, TE, 1550, TEAlign, FarmRight_6
8369, 8639, TE, 1550, TEAlign, FarmLeft_7
8449, 8639, TE, 1550, TEAlign, FarmMiddle_7
8529, 8766, TE, 1550, TEAlign, FarmRight_7
1828, 6030, TE, 1550, device, yhcheng_MZI1
2038, 6030, TE, 1550, device, yhcheng_MZIa
1828, 5627, TE, 1550, device, veerpalkaur
1852, 3665, TE, 1550, device, mehmetunlu_GCto1DGW1x4v01
1841, 3312, TE, 1550, device, mehmetunlu_GCto1DGW1x2v01um10
1834, 2743, TE, 1550, device, mehmetunlu_GCto1DGW1x2v02
